time;speed;;;;;;;
345;10;;;;;;;
346;11;;;;;;;
347;12;;;;;;;
348;13;;;;;;;
349;0;;;;;;;
350;1;;;;;;;
351;2;;;;;;;
352;3;;;;;;;
353;4;;;;;;;
354;5;;;;;;;
355;6;;;;;;;
356;7;;;;;;;
357;8;;;;;;;
358;9;;;;;;;
359;10;;;;;;;
360;11;;;;;;;
361;12;;;;;;;
362;13;;;;;;;
363;0;;;;;;;
364;1;;;;;;;
365;2;;;;;;;
366;3;;;;;;;
367;4;;;;;;;
368;5;;;;;;;
369;6;;;;;;;
370;7;;;;;;;
371;8;;;;;;;
372;9;;;;;;;
373;10;;;;;;;
374;11;;;;;;;
375;12;;;;;;;
376;13;;;;;;;
377;0;;;;;;;
378;1;;;;;;;
379;2;;;;;;;
380;3;;;;;;;
381;4;;;;;;;
382;5;;;;;;;
383;6;;;;;;;
384;7;;;;;;;
385;8;;;;;;;
386;9;;;;;;;
387;10;;;;;;;
388;11;;;;;;;
389;12;;;;;;;
390;13;;;;;;;
391;0;;;;;;;
392;1;;;;;;;
393;2;;;;;;;
394;3;;;;;;;
395;4;;;;;;;
396;5;;;;;;;
397;6;;;;;;;
398;7;;;;;;;
399;8;;;;;;;
400;9;;;;;;;
401;10;;;;;;;
402;11;;;;;;;
403;12;;;;;;;
404;13;;;;;;;
405;0;;;;;;;
406;1;;;;;;;
407;2;;;;;;;
408;3;;;;;;;
409;4;;;;;;;
410;5;;;;;;;
411;6;;;;;;;
412;7;;;;;;;
413;8;;;;;;;
414;9;;;;;;;
415;10;;;;;;;
416;11;;;;;;;
417;12;;;;;;;
418;13;;;;;;;
419;0;;;;;;;
420;1;;;;;;;
421;2;;;;;;;
422;3;;;;;;;
423;4;;;;;;;
424;5;;;;;;;
425;6;;;;;;;
426;7;;;;;;;
427;8;;;;;;;
428;9;;;;;;;
429;10;;;;;;;
430;11;;;;;;;
431;12;;;;;;;
432;13;;;;;;;
433;0;;;;;;;
434;1;;;;;;;
435;2;;;;;;;
436;3;;;;;;;
437;4;;;;;;;
438;5;;;;;;;
439;6;;;;;;;
440;7;;;;;;;
441;8;;;;;;;
442;9;;;;;;;
443;10;;;;;;;
444;11;;;;;;;
445;12;;;;;;;
446;13;;;;;;;
447;0;;;;;;;
448;1;;;;;;;
449;2;;;;;;;
450;3;;;;;;;
451;4;;;;;;;
452;5;;;;;;;
453;6;;;;;;;
454;7;;;;;;;
455;8;;;;;;;
456;9;;;;;;;
457;10;;;;;;;
458;11;;;;;;;
459;12;;;;;;;
460;13;;;;;;;
461;0;;;;;;;
462;1;;;;;;;
463;2;;;;;;;
464;3;;;;;;;
465;4;;;;;;;
466;5;;;;;;;
467;6;;;;;;;
468;7;;;;;;;
469;8;;;;;;;
470;9;;;;;;;
471;10;;;;;;;
472;11;;;;;;;
473;12;;;;;;;
474;13;;;;;;;
475;0;;;;;;;
476;1;;;;;;;
477;2;;;;;;;
478;3;;;;;;;
479;4;;;;;;;
480;5;;;;;;;
481;6;;;;;;;
482;7;;;;;;;
483;8;;;;;;;
484;9;;;;;;;
485;10;;;;;;;
486;11;;;;;;;
487;12;;;;;;;
488;13;;;;;;;
489;0;;;;;;;
490;1;;;;;;;
491;2;;;;;;;
492;3;;;;;;;
493;4;;;;;;;
494;5;;;;;;;
495;6;;;;;;;
496;7;;;;;;;
497;8;;;;;;;
498;9;;;;;;;
499;10;;;;;;;
500;11;;;;;;;
501;12;;;;;;;
502;13;;;;;;;
503;0;;;;;;;
504;1;;;;;;;
505;2;;;;;;;
506;3;;;;;;;
507;4;;;;;;;
508;5;;;;;;;
509;6;;;;;;;
510;7;;;;;;;
511;8;;;;;;;
512;9;;;;;;;
513;10;;;;;;;
514;11;;;;;;;
515;12;;;;;;;
516;13;;;;;;;
517;0;;;;;;;
518;1;;;;;;;
519;2;;;;;;;
520;3;;;;;;;
521;4;;;;;;;
522;5;;;;;;;
523;6;;;;;;;
524;7;;;;;;;
525;8;;;;;;;
526;9;;;;;;;
527;10;;;;;;;
528;11;;;;;;;
529;12;;;;;;;
530;13;;;;;;;
531;0;;;;;;;
532;1;;;;;;;
533;2;;;;;;;
534;3;;;;;;;
535;4;;;;;;;
536;5;;;;;;;
537;6;;;;;;;
538;7;;;;;;;
539;8;;;;;;;
540;9;;;;;;;
541;10;;;;;;;
542;11;;;;;;;
543;12;;;;;;;
544;13;;;;;;;
545;0;;;;;;;
546;1;;;;;;;
547;2;;;;;;;
548;3;;;;;;;
549;4;;;;;;;
550;5;;;;;;;
551;6;;;;;;;
552;7;;;;;;;
553;8;;;;;;;
554;9;;;;;;;
555;10;;;;;;;
556;11;;;;;;;
557;12;;;;;;;
558;13;;;;;;;
559;0;;;;;;;
560;1;;;;;;;
561;2;;;;;;;
562;3;;;;;;;
563;4;;;;;;;
564;5;;;;;;;
565;6;;;;;;;
566;7;;;;;;;
567;8;;;;;;;
568;9;;;;;;;
569;10;;;;;;;
570;11;;;;;;;
571;12;;;;;;;
572;13;;;;;;;
573;0;;;;;;;
574;1;;;;;;;
575;2;;;;;;;
576;3;;;;;;;
577;4;;;;;;;
578;5;;;;;;;
579;6;;;;;;;
580;7;;;;;;;
581;8;;;;;;;
582;9;;;;;;;
583;10;;;;;;;
584;11;;;;;;;
585;12;;;;;;;
586;13;;;;;;;
587;0;;;;;;;
588;1;;;;;;;
589;2;;;;;;;
590;3;;;;;;;
591;4;;;;;;;
592;5;;;;;;;
593;6;;;;;;;
594;7;;;;;;;
595;8;;;;;;;
596;9;;;;;;;
597;10;;;;;;;
598;11;;;;;;;
599;12;;;;;;;
600;13;;;;;;;
601;0;;;;;;;
602;1;;;;;;;
603;2;;;;;;;
604;3;;;;;;;
605;4;;;;;;;
606;5;;;;;;;
607;6;;;;;;;
608;7;;;;;;;
609;8;;;;;;;
610;9;;;;;;;
611;10;;;;;;;
612;11;;;;;;;
613;12;;;;;;;
614;13;;;;;;;
615;0;;;;;;;
616;1;;;;;;;
617;2;;;;;;;
618;3;;;;;;;
619;4;;;;;;;
620;5;;;;;;;
621;6;;;;;;;
622;7;;;;;;;
623;8;;;;;;;
624;9;;;;;;;
625;10;;;;;;;
626;11;;;;;;;
627;12;;;;;;;
628;13;;;;;;;
629;0;;;;;;;
630;1;;;;;;;
631;2;;;;;;;
632;3;;;;;;;
633;4;;;;;;;
634;5;;;;;;;
635;6;;;;;;;
636;7;;;;;;;
637;8;;;;;;;
638;9;;;;;;;
639;10;;;;;;;
640;11;;;;;;;
641;12;;;;;;;
642;13;;;;;;;
643;0;;;;;;;
644;1;;;;;;;
645;2;;;;;;;
646;3;;;;;;;
647;4;;;;;;;
648;5;;;;;;;
649;6;;;;;;;
650;7;;;;;;;
651;8;;;;;;;
652;9;;;;;;;
653;10;;;;;;;
654;11;;;;;;;
655;12;;;;;;;
656;13;;;;;;;
657;0;;;;;;;
658;1;;;;;;;
659;2;;;;;;;
660;3;;;;;;;
661;4;;;;;;;
662;5;;;;;;;
663;6;;;;;;;
664;7;;;;;;;
665;8;;;;;;;
666;9;;;;;;;
667;10;;;;;;;
668;11;;;;;;;
669;12;;;;;;;
670;13;;;;;;;
671;0;;;;;;;
672;1;;;;;;;
673;2;;;;;;;
674;3;;;;;;;
675;4;;;;;;;
676;5;;;;;;;
677;6;;;;;;;
678;7;;;;;;;
679;8;;;;;;;
680;9;;;;;;;
681;10;;;;;;;
682;11;;;;;;;
683;12;;;;;;;
684;13;;;;;;;
685;0;;;;;;;
686;1;;;;;;;
687;2;;;;;;;
688;3;;;;;;;
689;4;;;;;;;
690;5;;;;;;;
691;6;;;;;;;
692;7;;;;;;;
693;8;;;;;;;
694;9;;;;;;;
695;10;;;;;;;
696;11;;;;;;;
697;12;;;;;;;
698;13;;;;;;;
699;0;;;;;;;
700;1;;;;;;;
701;2;;;;;;;
702;3;;;;;;;
703;4;;;;;;;
704;5;;;;;;;
705;6;;;;;;;
706;7;;;;;;;
707;8;;;;;;;
708;9;;;;;;;
709;10;;;;;;;
710;11;;;;;;;
711;12;;;;;;;
712;13;;;;;;;
713;0;;;;;;;
714;1;;;;;;;
715;2;;;;;;;
716;3;;;;;;;
717;4;;;;;;;
718;5;;;;;;;
719;6;;;;;;;
720;7;;;;;;;
721;8;;;;;;;
722;9;;;;;;;
723;10;;;;;;;
724;11;;;;;;;
725;12;;;;;;;
726;13;;;;;;;
727;0;;;;;;;
728;1;;;;;;;
729;2;;;;;;;
730;3;;;;;;;
731;4;;;;;;;
732;5;;;;;;;
733;6;;;;;;;
734;7;;;;;;;
735;8;;;;;;;
736;9;;;;;;;
737;10;;;;;;;
738;11;;;;;;;
739;12;;;;;;;
740;13;;;;;;;
741;0;;;;;;;
742;1;;;;;;;
743;2;;;;;;;
744;3;;;;;;;
745;4;;;;;;;
746;5;;;;;;;
747;6;;;;;;;
748;7;;;;;;;
749;8;;;;;;;
750;9;;;;;;;
751;10;;;;;;;
752;11;;;;;;;
753;12;;;;;;;
754;13;;;;;;;
755;0;;;;;;;
756;1;;;;;;;
757;2;;;;;;;
758;3;;;;;;;
759;4;;;;;;;
760;5;;;;;;;
761;6;;;;;;;
762;7;;;;;;;
763;8;;;;;;;
764;9;;;;;;;
765;10;;;;;;;
766;11;;;;;;;
767;12;;;;;;;
768;13;;;;;;;
769;0;;;;;;;
770;1;;;;;;;
771;2;;;;;;;
772;3;;;;;;;
773;4;;;;;;;
774;5;;;;;;;
775;6;;;;;;;
776;7;;;;;;;
777;8;;;;;;;
778;9;;;;;;;
779;10;;;;;;;
780;11;;;;;;;
781;12;;;;;;;
782;13;;;;;;;
783;0;;;;;;;
784;1;;;;;;;
785;2;;;;;;;
786;3;;;;;;;
787;4;;;;;;;
788;5;;;;;;;
789;6;;;;;;;
790;7;;;;;;;
791;8;;;;;;;
792;9;;;;;;;
793;10;;;;;;;
794;11;;;;;;;
795;12;;;;;;;
796;13;;;;;;;
797;0;;;;;;;
798;1;;;;;;;
799;2;;;;;;;
800;3;;;;;;;
801;4;;;;;;;
802;5;;;;;;;
803;6;;;;;;;
804;7;;;;;;;
805;8;;;;;;;
806;9;;;;;;;
807;10;;;;;;;
808;11;;;;;;;
809;12;;;;;;;
810;13;;;;;;;
811;0;;;;;;;
812;1;;;;;;;
813;2;;;;;;;
814;3;;;;;;;
815;4;;;;;;;
816;5;;;;;;;
817;6;;;;;;;
818;7;;;;;;;
819;8;;;;;;;
820;9;;;;;;;
821;10;;;;;;;
822;11;;;;;;;
823;12;;;;;;;
824;13;;;;;;;
825;0;;;;;;;
826;1;;;;;;;
827;2;;;;;;;
828;3;;;;;;;
829;4;;;;;;;
830;5;;;;;;;
831;6;;;;;;;
832;7;;;;;;;
833;8;;;;;;;
834;9;;;;;;;
835;10;;;;;;;
836;11;;;;;;;
837;12;;;;;;;
838;13;;;;;;;
839;0;;;;;;;
840;1;;;;;;;
841;2;;;;;;;
842;3;;;;;;;
843;4;;;;;;;
844;5;;;;;;;
845;6;;;;;;;
846;7;;;;;;;
847;8;;;;;;;
848;9;;;;;;;
849;10;;;;;;;
850;11;;;;;;;
851;12;;;;;;;
852;13;;;;;;;
853;0;;;;;;;
854;1;;;;;;;
855;2;;;;;;;
856;3;;;;;;;
857;4;;;;;;;
858;5;;;;;;;
859;6;;;;;;;
860;7;;;;;;;
861;8;;;;;;;
862;9;;;;;;;
863;10;;;;;;;
864;11;;;;;;;
865;12;;;;;;;
866;13;;;;;;;
867;0;;;;;;;
868;1;;;;;;;
869;2;;;;;;;
870;3;;;;;;;
871;4;;;;;;;
872;5;;;;;;;
873;6;;;;;;;
874;7;;;;;;;
875;8;;;;;;;
876;9;;;;;;;
877;10;;;;;;;
878;11;;;;;;;
879;12;;;;;;;
880;13;;;;;;;
881;0;;;;;;;
882;1;;;;;;;
883;2;;;;;;;
884;3;;;;;;;
885;4;;;;;;;
886;5;;;;;;;
887;6;;;;;;;
888;7;;;;;;;
889;8;;;;;;;
890;9;;;;;;;
891;10;;;;;;;
892;11;;;;;;;
893;12;;;;;;;
894;13;;;;;;;
895;0;;;;;;;
896;1;;;;;;;
897;2;;;;;;;
898;3;;;;;;;
899;4;;;;;;;
900;5;;;;;;;
901;6;;;;;;;
902;7;;;;;;;
903;8;;;;;;;
904;9;;;;;;;
905;10;;;;;;;
906;11;;;;;;;
907;12;;;;;;;
908;13;;;;;;;
909;0;;;;;;;
910;1;;;;;;;
911;2;;;;;;;
912;3;;;;;;;
913;4;;;;;;;
914;5;;;;;;;
915;6;;;;;;;
916;7;;;;;;;
917;8;;;;;;;
918;9;;;;;;;
919;10;;;;;;;
920;11;;;;;;;
921;12;;;;;;;
922;13;;;;;;;
923;0;;;;;;;
924;1;;;;;;;
925;2;;;;;;;
926;3;;;;;;;
927;4;;;;;;;
928;5;;;;;;;
929;6;;;;;;;
930;7;;;;;;;
931;8;;;;;;;
932;9;;;;;;;
933;10;;;;;;;
934;11;;;;;;;
935;12;;;;;;;
936;13;;;;;;;
937;0;;;;;;;
938;1;;;;;;;
939;2;;;;;;;
940;3;;;;;;;
941;4;;;;;;;
942;5;;;;;;;
943;6;;;;;;;
944;7;;;;;;;
945;8;;;;;;;
946;9;;;;;;;
947;10;;;;;;;
948;11;;;;;;;
949;12;;;;;;;
950;13;;;;;;;
951;0;;;;;;;
952;1;;;;;;;
953;2;;;;;;;
954;3;;;;;;;
955;4;;;;;;;
956;5;;;;;;;
957;6;;;;;;;
958;7;;;;;;;
959;8;;;;;;;
960;9;;;;;;;
961;10;;;;;;;
962;11;;;;;;;
963;12;;;;;;;
964;13;;;;;;;
965;0;;;;;;;
966;1;;;;;;;
967;2;;;;;;;
968;3;;;;;;;
969;4;;;;;;;
970;5;;;;;;;
971;6;;;;;;;
972;7;;;;;;;
973;8;;;;;;;
974;9;;;;;;;
975;10;;;;;;;
976;11;;;;;;;
977;12;;;;;;;
978;13;;;;;;;
979;0;;;;;;;
980;1;;;;;;;
981;2;;;;;;;
982;3;;;;;;;
983;4;;;;;;;
984;5;;;;;;;
985;6;;;;;;;
986;7;;;;;;;
987;8;;;;;;;
988;9;;;;;;;
989;10;;;;;;;
990;11;;;;;;;
991;12;;;;;;;
992;13;;;;;;;
993;0;;;;;;;
994;1;;;;;;;
995;2;;;;;;;
996;3;;;;;;;
997;4;;;;;;;
998;5;;;;;;;
999;6;;;;;;;
1000;7;;;;;;;
1001;8;;;;;;;
1002;9;;;;;;;
1003;10;;;;;;;
1004;11;;;;;;;
1005;12;;;;;;;
1006;13;;;;;;;
1007;0;;;;;;;
1008;1;;;;;;;
1009;2;;;;;;;
1010;3;;;;;;;
1011;4;;;;;;;
1012;5;;;;;;;
1013;6;;;;;;;
1014;7;;;;;;;
1015;8;;;;;;;
1016;9;;;;;;;
1017;10;;;;;;;
1018;11;;;;;;;
1019;12;;;;;;;
1020;13;;;;;;;
1021;0;;;;;;;
1022;1;;;;;;;
1023;2;;;;;;;
1024;3;;;;;;;
1025;4;;;;;;;
1026;5;;;;;;;
1027;6;;;;;;;
1028;7;;;;;;;
1029;8;;;;;;;
1030;9;;;;;;;
1031;10;;;;;;;
1032;11;;;;;;;
1033;12;;;;;;;
1034;13;;;;;;;
1035;0;;;;;;;
1036;1;;;;;;;
1037;2;;;;;;;
1038;3;;;;;;;
1039;4;;;;;;;
1040;5;;;;;;;
1041;6;;;;;;;
1042;7;;;;;;;
1043;8;;;;;;;
1044;9;;;;;;;
1045;10;;;;;;;
1046;11;;;;;;;
1047;12;;;;;;;
1048;13;;;;;;;
1049;0;;;;;;;
1050;1;;;;;;;
1051;2;;;;;;;
1052;3;;;;;;;
1053;4;;;;;;;
1054;5;;;;;;;
1055;6;;;;;;;
1056;7;;;;;;;
1057;8;;;;;;;
1058;9;;;;;;;
1059;10;;;;;;;
1060;11;;;;;;;
1061;12;;;;;;;
1062;13;;;;;;;
1063;0;;;;;;;
1064;1;;;;;;;
1065;2;;;;;;;
1066;3;;;;;;;
1067;4;;;;;;;
1068;5;;;;;;;
1069;6;;;;;;;
1070;7;;;;;;;
1071;8;;;;;;;
1072;9;;;;;;;
1073;10;;;;;;;
1074;11;;;;;;;
1075;12;;;;;;;
1076;13;;;;;;;
1077;0;;;;;;;
1078;1;;;;;;;
1079;2;;;;;;;
1080;3;;;;;;;
1081;4;;;;;;;
1082;5;;;;;;;
1083;6;;;;;;;
1084;7;;;;;;;
1085;8;;;;;;;
1086;9;;;;;;;
1087;10;;;;;;;
1088;11;;;;;;;
1089;12;;;;;;;
1090;13;;;;;;;
1091;0;;;;;;;
1092;1;;;;;;;
1093;2;;;;;;;
1094;3;;;;;;;
1095;4;;;;;;;
1096;5;;;;;;;
1097;6;;;;;;;
1098;7;;;;;;;
1099;8;;;;;;;
1100;9;;;;;;;
1101;10;;;;;;;
1102;11;;;;;;;
1103;12;;;;;;;
1104;13;;;;;;;
1105;0;;;;;;;
1106;1;;;;;;;
1107;2;;;;;;;
1108;3;;;;;;;
1109;4;;;;;;;
1110;5;;;;;;;
1111;6;;;;;;;
1112;7;;;;;;;
1113;8;;;;;;;
1114;9;;;;;;;
1115;10;;;;;;;
1116;11;;;;;;;
1117;12;;;;;;;
1118;13;;;;;;;
1119;0;;;;;;;
1120;1;;;;;;;
1121;2;;;;;;;
1122;3;;;;;;;
1123;4;;;;;;;
1124;5;;;;;;;
1125;6;;;;;;;
1126;7;;;;;;;
1127;8;;;;;;;
1128;9;;;;;;;
1129;10;;;;;;;
1130;11;;;;;;;
1131;12;;;;;;;
1132;13;;;;;;;
1133;0;;;;;;;
1134;1;;;;;;;
1135;2;;;;;;;
1136;3;;;;;;;
1137;4;;;;;;;
1138;5;;;;;;;
1139;6;;;;;;;
1140;7;;;;;;;
1141;8;;;;;;;
1142;9;;;;;;;
1143;10;;;;;;;
1144;11;;;;;;;
1145;12;;;;;;;
1146;13;;;;;;;
1147;0;;;;;;;
1148;1;;;;;;;
1149;2;;;;;;;
1150;3;;;;;;;
1151;4;;;;;;;
1152;5;;;;;;;
1153;6;;;;;;;
1154;7;;;;;;;
1155;8;;;;;;;
1156;9;;;;;;;
1157;10;;;;;;;
1158;11;;;;;;;
1159;12;;;;;;;
1160;13;;;;;;;
1161;0;;;;;;;
1162;1;;;;;;;
1163;2;;;;;;;
1164;3;;;;;;;
1165;4;;;;;;;
1166;5;;;;;;;
1167;6;;;;;;;
1168;7;;;;;;;
1169;8;;;;;;;
1170;9;;;;;;;
1171;10;;;;;;;
1172;11;;;;;;;
1173;12;;;;;;;
1174;13;;;;;;;
1175;0;;;;;;;
1176;1;;;;;;;
1177;2;;;;;;;
1178;3;;;;;;;
1179;4;;;;;;;
1180;5;;;;;;;
1181;6;;;;;;;
1182;7;;;;;;;
1183;8;;;;;;;
1184;9;;;;;;;
1185;10;;;;;;;
1186;11;;;;;;;
1187;12;;;;;;;
1188;13;;;;;;;
1189;0;;;;;;;
1190;1;;;;;;;
1191;2;;;;;;;
1192;3;;;;;;;
1193;4;;;;;;;
1194;5;;;;;;;
1195;6;;;;;;;
1196;7;;;;;;;
1197;8;;;;;;;
1198;9;;;;;;;
1199;10;;;;;;;
1200;11;;;;;;;
1201;12;;;;;;;
1202;13;;;;;;;
1203;0;;;;;;;
1204;1;;;;;;;
1205;2;;;;;;;
1206;3;;;;;;;
1207;4;;;;;;;
1208;5;;;;;;;
1209;6;;;;;;;
1210;7;;;;;;;
1211;8;;;;;;;
1212;9;;;;;;;
1213;10;;;;;;;
1214;11;;;;;;;
1215;12;;;;;;;
1216;13;;;;;;;
1217;0;;;;;;;
1218;1;;;;;;;
1219;2;;;;;;;
1220;3;;;;;;;
1221;4;;;;;;;
1222;5;;;;;;;
1223;6;;;;;;;
1224;7;;;;;;;
1225;8;;;;;;;
1226;9;;;;;;;
1227;10;;;;;;;
1228;11;;;;;;;
1229;12;;;;;;;
1230;13;;;;;;;
1231;0;;;;;;;
1232;1;;;;;;;
1233;2;;;;;;;
1234;3;;;;;;;
1235;4;;;;;;;
1236;5;;;;;;;
1237;6;;;;;;;
1238;7;;;;;;;
1239;8;;;;;;;
1240;9;;;;;;;
1241;10;;;;;;;
1242;11;;;;;;;
1243;12;;;;;;;
1244;13;;;;;;;
1245;0;;;;;;;
1246;1;;;;;;;
1247;2;;;;;;;
